ردیف,بخش,شناسه,پرسیده‌شده,پلتفرم,نوع,عنوان,متن,تأیید (تأیید/اصلاح/حذف),توضیح شما
65,دانش پایه و رویه‌های متاتریدر ۴,MT4-CONC-0002,,فقط متاتریدر ۴,مفهوم,تیکت، کامنت و Magic Number در متاتریدر ۴,"هر معامله در متاتریدر ۴ یک شماره‌ی یکتا (Ticket) دارد. فیلد Comment توضیح متنی معامله است که گاهی بروکر یا اکسپرت در آن اطلاعاتی می‌نویسد، و Magic Number شناسه‌ی عددی‌ای است که اکسپرت‌ها با آن معاملات خودشان را از معاملات دستی تشخیص می‌دهند.

تعریف: Ticket: شناسه‌ی معامله. Comment: توضیح متنی. Magic Number: شناسه‌ی اکسپرت.",,
66,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0002,,فقط متاتریدر ۴,رویه,نمایش همه‌ی نمادها در Market Watch (متاتریدر ۴),"در متاتریدر ۴ با راست‌کلیک روی Market Watch و انتخاب Show All همه‌ی نمادهای در دسترس نمایش داده می‌شوند؛ برای فهرست کامل و گروه‌بندی‌شده از پنجره‌ی Symbols استفاده کنید.

گام‌ها:
1. روی Market Watch راست‌کلیک کنید.
2. گزینه‌ی Show All را بزنید تا همه‌ی نمادها نمایش داده شوند.
3. برای انتخاب دقیق‌تر، Symbols را باز کنید و نماد را Show کنید.",,
67,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0005,,فقط متاتریدر ۴,رویه,فعال‌سازی AutoTrading و اکسپرت در متاتریدر ۴,"در متاتریدر ۴ معامله‌ی خودکار با دکمه‌ی AutoTrading (در نسخه‌های قدیمی‌تر Expert Advisors) فعال می‌شود و اکسپرت باید در پوشه‌ی MQL4/Experts قرار بگیرد.

گام‌ها:
1. File > Open Data Folder را باز کنید و فایل را در MQL4/Experts بگذارید.
2. در Navigator روی Expert Advisors راست‌کلیک و Refresh بزنید.
3. اکسپرت را روی چارت بکشید و Allow live trading را تیک بزنید.
4. دکمه‌ی AutoTrading در نوار ابزار را فعال کنید.",,
68,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0008,,فقط متاتریدر ۴,رویه,گرفتن گزارش و صورت‌حساب در متاتریدر ۴,"در متاتریدر ۴ از تب Account History می‌توان صورت‌حساب ساده یا تفصیلی گرفت و آن را به‌صورت فایل HTML ذخیره کرد.

گام‌ها:
1. پنجره‌ی Terminal را باز کنید و به تب Account History بروید.
2. روی فهرست راست‌کلیک و بازه‌ی زمانی موردنظر را انتخاب کنید.
3. گزینه‌ی Save as Report یا Save as Detailed Report را بزنید.
4. فایل HTML خروجی را ذخیره و در مرورگر باز کنید.",,
69,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0010,,فقط متاتریدر ۴,رویه,بستن جزئی معامله در متاتریدر ۴,"در متاتریدر ۴ بستن بخشی از یک معامله، معامله‌ی اصلی را با حجم باقی‌مانده و تیکت جدید بازسازی می‌کند. به همین دلیل شماره‌ی تیکت پس از بستن جزئی تغییر می‌کند و در تاریخچه دو رکورد ثبت می‌شود.

گام‌ها:
1. در تب Trade روی معامله دوبار کلیک کنید.
2. در پنجره‌ی بستن، حجمی کمتر از حجم فعلی وارد کنید.
3. دکمه‌ی زرد بستن با همان حجم را بزنید.
4. معامله‌ی باقی‌مانده را با تیکت جدید در تب Trade بررسی کنید.",,
70,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0011,,فقط متاتریدر ۴,رویه,مشاهده‌ی مشخصات نماد در متاتریدر ۴,"در متاتریدر ۴ مشخصات هر نماد از پنجره‌ی Symbols و گزینه‌ی Properties دیده می‌شود: اندازه‌ی قرارداد، ارقام اعشار، حداقل حجم، گام حجم، سطح استاپ، نرخ سواپ، نوع اجرا و ساعات معاملاتی. مسیر آن با متاتریدر ۵ فرق دارد؛ در متاتریدر ۵ همین اطلاعات با راست‌کلیک روی نماد و گزینه‌ی Specification باز می‌شود.

گام‌ها:
1. روی پنجره‌ی Market Watch راست‌کلیک کنید و Symbols را بزنید.
2. نماد موردنظر را در درخت گروه‌ها پیدا و انتخاب کنید.
3. دکمه‌ی Properties را بزنید.
4. مقادیر Contract size، Digits، Stops level، Swap و Trade sessions را بخوانید.",,
71,دانش پایه و رویه‌های متاتریدر ۴,MT4-PROC-0012,,فقط متاتریدر ۴,رویه,تنظیم حداکثر انحراف مجاز قیمت در متاتریدر ۴,"در حساب‌های Instant Execution، پنجره‌ی سفارش متاتریدر ۴ گزینه‌ی «Enable maximum deviation from quoted price» دارد. با فعال کردن آن و تعیین مقدار بر حسب پیپ، اگر قیمت تا آن حد تغییر کند سفارش به‌جای نمایش ریکوت، اجرا می‌شود. در حساب‌های Market Execution این گزینه کاربرد ندارد.

گام‌ها:
1. پنجره‌ی سفارش را باز کنید (F9).
2. گزینه‌ی Enable maximum deviation from quoted price را تیک بزنید.
3. مقدار انحراف مجاز را بر حسب پیپ وارد کنید.
4. سفارش را ثبت کنید.

هشدارها:
- انحراف بسیار بزرگ یعنی پذیرش اجرای سفارش با قیمتی به‌مراتب بدتر از قیمت دیده‌شده.",,
72,مفاهیم پایه‌ی متاتریدر,MT-CONC-0004,ارزش پیپ طلا چند است و ارزش پیپ هر نماد را چطور پیدا کنم؟,هر دو,تعریف,Tick Size و Tick Value,"Tick Size کوچک‌ترین تغییر ممکن قیمت یک نماد و Tick Value ارزش پولی آن تغییر برای یک لات است. این دو مقدار در پنجره‌ی Specification نماد دیده می‌شوند و مبنای محاسبه‌ی سود و زیان هر حرکت قیمت هستند. برای نمادهایی غیر از جفت‌ارزهای دلاری، ارزش هر تیک به نرخ تبدیل ارز حساب هم وابسته است.

تعریف: Tick Size: کوچک‌ترین گام قیمت. Tick Value: ارزش پولی یک تیک برای یک لات.",,
73,مفاهیم پایه‌ی متاتریدر,MT-CONC-0012,فلانی گفت اینجوری بهتره، عوض کنم؟,هر دو,مفهوم,تایم‌فریم و نحوه‌ی ساخته شدن کندل,هر کندل نماینده‌ی یک بازه‌ی زمانی است و تا پایان آن بازه در حال تغییر می‌ماند. پلتفرم کندل‌ها را از داده‌ی تیک سرور می‌سازد؛ بنابراین تغییر تایم‌فریم فقط نحوه‌ی نمایش را عوض می‌کند، نه داده‌ی زیرین را. کندل جاری تا بسته شدن قطعی نیست و تحلیل بر پایه‌ی آن ممکن است با بسته شدن کندل تغییر کند.,,
74,مفاهیم پایه‌ی متاتریدر,MT-CONC-0013,سقف ضرر روزانه یعنی چی؟,وابسته به بروکر,مفهوم,پسوند نمادها و تفاوت نام‌گذاری بروکرها,بسیاری از بروکرها نمادها را با پسوند ارائه می‌کنند؛ مثلاً EURUSD.m یا XAUUSD_i یا EURUSD.pro. این پسوند معمولاً نوع حساب یا گروه نماد را مشخص می‌کند و نام نماد در دو بروکر می‌تواند متفاوت باشد. هنگام نصب اندیکاتور یا اکسپرتی که نام نماد را ثابت فرض کرده است، همین تفاوت باعث کار نکردن آن می‌شود.,,
75,مفاهیم پایه‌ی متاتریدر,MT-CONC-0001,,هر دو,تعریف,Bid و Ask در متاتریدر,"Bid قیمتی است که با آن می‌فروشید و Ask قیمتی است که با آن می‌خرید. Ask همیشه بزرگ‌تر یا مساوی Bid است. معامله‌ی خرید با Ask باز و با Bid بسته می‌شود؛ معامله‌ی فروش با Bid باز و با Ask بسته می‌شود. به‌صورت پیش‌فرض روی چارت فقط خط Bid رسم می‌شود و برای دیدن خط Ask باید در تنظیمات چارت گزینه‌ی نمایش خط Ask فعال شود.

تعریف: Bid: قیمت فروش شما. Ask: قیمت خرید شما. اختلاف این دو، اسپرد است.",,
76,مفاهیم پایه‌ی متاتریدر,MT-CONC-0003,,هر دو,تعریف,پوینت، دیجیت و نحوه‌ی نمایش قیمت,"متاتریدر قیمت را با تعداد ارقام اعشاری (Digits) تعریف‌شده در مشخصات نماد نمایش می‌دهد. پوینت کوچک‌ترین تغییر همان رقم آخر است. در نمادهای ۵ رقمی (مثل EURUSD با ۱.۰۸۵۰۰) هر پیپ برابر ۱۰ پوینت است و در نمادهای ۳ رقمی دارای ین نیز همین نسبت برقرار است. حد ضرر و حد سود و Stops Level در پلتفرم بر حسب پوینت بیان می‌شوند، نه پیپ.

تعریف: پوینت = کوچک‌ترین تغییر رقم آخر قیمت؛ پیپ = ۱۰ پوینت در نمادهای ۵ رقمی.

هشدارها:
- اشتباه گرفتن پیپ و پوینت باعث می‌شود حد ضرر ۱۰ برابر کوچک‌تر یا بزرگ‌تر از هدف ثبت شود.",,
77,مفاهیم پایه‌ی متاتریدر,MT-CONC-0009,,وابسته به بروکر,مفهوم,Stops Level و Freeze Level,Stops Level حداقل فاصله‌ی مجاز حد ضرر، حد سود و قیمت سفارش معلق تا قیمت فعلی است و بر حسب پوینت بیان می‌شود. Freeze Level بازه‌ای است که در آن، به دلیل نزدیکی قیمت به سطح سفارش، ویرایش یا حذف سفارش موقتاً مجاز نیست. هر دو مقدار را بروکر تعیین می‌کند و در پنجره‌ی Specification دیده می‌شوند؛ مقدار صفر یعنی محدودیتی اعمال نمی‌شود.,,
78,مفاهیم پایه‌ی متاتریدر,MT-CONC-0011,,هر دو,مفهوم,زمان سرور بروکر و اختلاف آن با ساعت محلی,"همه‌ی کندل‌ها، ساعات معاملاتی، زمان سواپ و تاریخچه بر اساس زمان سرور بروکر ثبت می‌شوند، نه ساعت کامپیوتر شما. زمان سرور در ستون Time در Market Watch و در گوشه‌ی چارت دیده می‌شود. تغییر ساعت کامپیوتر هیچ تأثیری بر کندل‌ها ندارد و اختلاف چند ساعته‌ی کندل روزانه با تقویم محلی، نتیجه‌ی همین موضوع است.

هشدارها:
- بروکرهای مختلف منطقه‌ی زمانی متفاوتی دارند؛ بنابراین کندل روزانه‌ی دو بروکر می‌تواند متفاوت باشد.",,
79,مفاهیم پایه‌ی متاتریدر,MT-CONC-0002,,هر دو,تعریف,اسپرد در متاتریدر و نمایش آن,"اسپرد اختلاف Ask و Bid است و در متاتریدر می‌توان آن را به‌صورت ستون Spread در Market Watch نمایش داد. اسپرد در بیشتر حساب‌ها شناور است و در زمان اخبار، بازگشایی بازار و ساعات کم‌نقدشوندگی افزایش می‌یابد. هر معامله بلافاصله پس از باز شدن به اندازه‌ی اسپرد در ضرر نمایش داده می‌شود و این رفتار طبیعی پلتفرم است.

تعریف: اسپرد = Ask − Bid، بر حسب پوینت.

گام‌ها:
1. روی Market Watch راست‌کلیک کنید.
2. گزینه‌ی Spread را فعال کنید تا ستون اسپرد نمایش داده شود.",,
80,مفاهیم پایه‌ی متاتریدر,MT-CONC-0005,,وابسته به بروکر,تعریف,اندازه‌ی قرارداد و محدودیت‌های حجم,"هر نماد یک اندازه‌ی قرارداد (Contract Size) دارد که تعداد واحد دارایی در یک لات را مشخص می‌کند. همچنین حداقل حجم (Volume Min)، حداکثر حجم (Volume Max) و گام حجم (Volume Step) در مشخصات نماد تعریف شده‌اند. وارد کردن حجمی خارج از این محدوده یا ناهماهنگ با گام حجم، باعث رد شدن سفارش می‌شود.

تعریف: Contract Size، Volume Min/Max/Step: پارامترهای حجم که بروکر برای هر نماد تعیین می‌کند.",,
81,مفاهیم پایه‌ی متاتریدر,MT-CONC-0006,,وابسته به بروکر,مفهوم,مارجین موردنیاز و اهرم در پلتفرم,هنگام باز کردن معامله، پلتفرم بخشی از موجودی را به‌عنوان مارجین قفل می‌کند. مقدار آن به اندازه‌ی قرارداد، حجم، قیمت و اهرم حساب بستگی دارد و در پنجره‌ی New Order پیش از ثبت سفارش قابل مشاهده است. برخی بروکرها برای نمادهای خاص یا در ساعات پایانی هفته اهرم متفاوتی اعمال می‌کنند.,,
82,مفاهیم پایه‌ی متاتریدر,MT-CONC-0007,,وابسته به بروکر,مفهوم,Margin Call و Stop Out در متاتریدر,"پلتفرم سطح مارجین (Margin Level) را به‌صورت درصد نمایش می‌دهد. با افت این درصد تا آستانه‌ی Margin Call هشدار داده می‌شود و با رسیدن به آستانه‌ی Stop Out، سرور شروع به بستن خودکار معاملات می‌کند — معمولاً از زیان‌ده‌ترین معامله. این دو آستانه را بروکر تعیین می‌کند و در متاتریدر قابل تغییر نیستند.

هشدارها:
- بسته شدن خودکار معامله توسط سرور انجام می‌شود، نه توسط ترمینال؛ بستن ترمینال جلوی آن را نمی‌گیرد.",,
83,مفاهیم پایه‌ی متاتریدر,MT-CONC-0008,,وابسته به بروکر,مفهوم,سواپ و زمان محاسبه‌ی آن,سواپ در پایان روز معاملاتی سرور (Rollover) به معاملات باز اعمال می‌شود و در ستون Swap در تب Trade نمایش داده می‌شود. در بیشتر بروکرها سواپ شب چهارشنبه سه‌برابر محاسبه می‌شود، چون تسویه‌ی آخر هفته را پوشش می‌دهد. نرخ سواپ هر نماد در پنجره‌ی Specification قابل مشاهده است.,,
84,مفاهیم پایه‌ی متاتریدر,MT-CONC-0010,,وابسته به بروکر,مفهوم,حالت‌های اجرای سفارش,نوع اجرای هر نماد را بروکر تعیین می‌کند. در Instant Execution قیمت مشخص است و در صورت تغییر قیمت، ریکوت دریافت می‌کنید و می‌توانید حداکثر انحراف مجاز (Deviation) را تعیین کنید. در Market Execution سفارش با بهترین قیمت موجود اجرا می‌شود و امکان ریکوت وجود ندارد، اما ممکن است لغزش قیمت رخ دهد. حالت‌های Request و Exchange نیز در برخی بازارها استفاده می‌شوند.,,
85,مفاهیم پایه‌ی متاتریدر,MT-CONC-0014,,هر دو,مفهوم,پنجره‌های اصلی پلتفرم: Market Watch، Navigator و Toolbox,سه پنجره‌ی اصلی متاتریدر عبارت‌اند از: Market Watch (فهرست نمادها، قیمت لحظه‌ای، اسپرد و مشخصات نماد)، Navigator (حساب‌ها، اندیکاتورها، اکسپرت‌ها و اسکریپت‌ها) و Toolbox/Terminal (تب‌های Trade، History، News، Alerts، Mailbox، Experts و Journal). کلیدهای میان‌بر: Ctrl+M برای Market Watch، Ctrl+N برای Navigator و Ctrl+T برای Toolbox/Terminal.,,
86,مفاهیم پایه‌ی متاتریدر,MT-CONC-0015,,هر دو,مفهوم,پوشه‌ی داده (Data Folder) و ساختار فایل‌ها,"هر نصب متاتریدر یک پوشه‌ی داده‌ی مستقل دارد که از مسیر File > Open Data Folder باز می‌شود. اندیکاتورها، اکسپرت‌ها، اسکریپت‌ها، تمپلیت‌ها، پروفایل‌ها و لاگ‌ها در همین پوشه ذخیره می‌شوند. کپی کردن فایل در پوشه‌ی اشتباه (مثلاً پوشه‌ی نصب به‌جای پوشه‌ی داده) رایج‌ترین دلیل دیده نشدن اندیکاتور یا اکسپرت در Navigator است.

گام‌ها:
1. منوی File را باز کنید.
2. گزینه‌ی Open Data Folder را بزنید.
3. به پوشه‌ی MQL4 یا MQL5 بروید و فایل را در زیرپوشه‌ی درست (Experts، Indicators، Scripts) بگذارید.
4. در Navigator راست‌کلیک و Refresh بزنید.",,
87,مفاهیم پایه‌ی متاتریدر,MT-CONC-0016,,هر دو,مفهوم,Journal و Experts: لاگ‌های پلتفرم,"تب Journal رویدادهای خود ترمینال را ثبت می‌کند: ورود و خروج، اتصال به سرور، خطاهای شبکه و به‌روزرسانی‌ها. تب Experts رویدادهای اکسپرت‌ها، اسکریپت‌ها و اندیکاتورها را ثبت می‌کند. برای هر عیب‌یابی جدی، نخستین جای بررسی همین دو تب است، چون پیام خطای دقیق سرور در آن‌ها ثبت می‌شود.

گام‌ها:
1. Toolbox/Terminal را باز کنید (Ctrl+T).
2. به تب Journal یا Experts بروید.
3. روی فهرست راست‌کلیک کنید و بازه‌ی زمانی موردنظر را انتخاب کنید.
4. برای ارسال به پشتیبانی، از Open گزارش متنی همان روز را بردارید.",,
88,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0007,,وابسته به نسخه,مقایسه,تفاوت مدیریت داده‌های تاریخی,"در متاتریدر ۴ داده‌ی تاریخی معمولاً باید دستی از History Center دانلود شود و کیفیت آن بر بک‌تست اثر مستقیم دارد؛ متاتریدر ۵ داده را به‌صورت خودکار از سرور می‌گیرد و امکان دریافت داده‌ی تیکی دارد.

مقایسه:
- mt4: History Center (کلید F2)، دانلود دستی، محدود به تنظیم Max bars in history.
- mt5: دریافت خودکار از سرور، به‌علاوه‌ی درخواست داده‌ی کندلی و تیکی از پنجره‌ی Symbols.",,
89,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0008,,وابسته به نسخه,مقایسه,تفاوت مدل معامله: تیکت در برابر Order/Deal/Position,"متاتریدر ۴ همه‌چیز را به‌صورت «سفارش با تیکت» می‌بیند، اما متاتریدر ۵ سه موجودیت جدا دارد. همین تفاوت باعث می‌شود شمارش معاملات در تاریخچه و گزارش‌های دو پلتفرم متفاوت باشد.

مقایسه:
- mt4: یک موجودیت: Order/Trade با شماره‌ی تیکت.
- mt5: سه موجودیت: Order (درخواست)، Deal (اجرا) و Position (وضعیت باز).",,
90,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0009,,وابسته به نسخه,مقایسه,تفاوت بستن جزئی معامله,"بستن جزئی در متاتریدر ۴ تیکت جدید می‌سازد، در حالی که در متاتریدر ۵ حجم پوزیشن کاهش می‌یابد و شناسه‌ی پوزیشن ثابت می‌ماند. در حساب Netting متاتریدر ۵ اصولاً یک پوزیشن واحد کم یا زیاد می‌شود.

مقایسه:
- mt4: معامله بسته و با حجم باقی‌مانده و تیکت جدید بازسازی می‌شود.
- mt5: حجم همان پوزیشن کاهش می‌یابد؛ شناسه‌ی پوزیشن تغییر نمی‌کند.",,
91,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0001,,وابسته به نسخه,مقایسه,تفاوت انواع سفارش معلق در متاتریدر ۴ و ۵,"متاتریدر ۴ چهار نوع سفارش معلق دارد و متاتریدر ۵ شش نوع؛ دو نوع Stop Limit فقط در متاتریدر ۵ موجود است.

مقایسه:
- mt4: Buy Limit, Sell Limit, Buy Stop, Sell Stop (۴ نوع)
- mt5: Buy Limit, Sell Limit, Buy Stop, Sell Stop, Buy Stop Limit, Sell Stop Limit (۶ نوع)",,
92,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0002,,وابسته به نسخه,مقایسه,تفاوت حسابداری پوزیشن (Netting / Hedging),"متاتریدر ۴ فقط Hedging است، اما متاتریدر ۵ بسته به نوع حسابی که بروکر می‌سازد می‌تواند Netting یا Hedging باشد.

مقایسه:
- mt4: فقط Hedging؛ هر سفارش یک تیکت مستقل.
- mt5: Netting یا Hedging، وابسته به نوع حساب تعیین‌شده توسط بروکر.",,
93,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0003,,وابسته به نسخه,مقایسه,تفاوت تعداد تایم‌فریم‌ها,"متاتریدر ۵ تایم‌فریم‌های به‌مراتب بیشتری نسبت به متاتریدر ۴ ارائه می‌دهد.

مقایسه:
- mt4: ۹ تایم‌فریم (M1, M5, M15, M30, H1, H4, D1, W1, MN1)
- mt5: ۲۱ تایم‌فریم، شامل M2, M3, M4, M6, M10, M12, M20, H2, H3, H6, H8, H12",,
94,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0004,,وابسته به نسخه,مقایسه,ناسازگاری اکسپرت‌ها و اندیکاتورها (MQL4 و MQL5),"زبان برنامه‌نویسی دو پلتفرم متفاوت است و فایل‌های اکسپرت یا اندیکاتور یکی روی دیگری اجرا نمی‌شوند؛ برای هر پلتفرم باید نسخه‌ی مخصوص همان پلتفرم تهیه شود.

مقایسه:
- mt4: MQL4؛ فایل‌های ex4 در پوشه‌ی MQL4.
- mt5: MQL5؛ فایل‌های ex5 در پوشه‌ی MQL5.",,
95,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0005,,وابسته به نسخه,مقایسه,تفاوت تستر استراتژی,"تستر استراتژی متاتریدر ۵ چندنمادی و چندرشته‌ای است و امکان تست با تیک‌های واقعی را دارد؛ تستر متاتریدر ۴ تک‌نمادی و تک‌رشته‌ای است و کیفیت آن با شاخص Modelling quality سنجیده می‌شود.

مقایسه:
- mt4: تست تک‌نمادی، بدون پردازش موازی، وابسته به کیفیت داده‌ی History Center.
- mt5: تست چندنمادی، پردازش موازی و بهینه‌سازی پیشرفته با امکان استفاده از تیک واقعی.",,
96,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0006,,وابسته به نسخه,مقایسه,عمق بازار و تقویم اقتصادی داخلی,"عمق بازار (Depth of Market) و تقویم اقتصادی داخلی از قابلیت‌های متاتریدر ۵ هستند و در متاتریدر ۴ وجود ندارند.

مقایسه:
- mt4: بدون Depth of Market و بدون تقویم اقتصادی داخلی.
- mt5: دارای Depth of Market و تقویم اقتصادی داخلی (نمایش داده‌ها وابسته به بروکر است).",,
97,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0010,,وابسته به نسخه,مقایسه,تفاوت تنظیمات اجرای سفارش,"متاتریدر ۵ علاوه بر انحراف مجاز، امکان انتخاب نوع پر شدن سفارش (Filling) را می‌دهد که در متاتریدر ۴ وجود ندارد.

مقایسه:
- mt4: فقط تنظیم انحراف مجاز (Deviation) در حساب‌های Instant Execution.
- mt5: انحراف مجاز به‌علاوه‌ی انتخاب Filling type: Fill or Kill، Immediate or Cancel یا Return.",,
98,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0011,,وابسته به نسخه,مقایسه,تفاوت ابزارهای پیش‌فرض و وضعیت توسعه,"متاتریدر ۵ اندیکاتورها و اشیاء گرافیکی بیشتری به‌صورت پیش‌فرض دارد و توسعه‌ی فعال متاکوتس روی همین نسخه متمرکز است؛ متاتریدر ۴ عمدتاً در حالت نگهداری قرار دارد. با این حال، انتخاب پلتفرم را در عمل بروکر و ابزارهای موردنیاز معامله‌گر تعیین می‌کند.

مقایسه:
- mt4: مجموعه‌ی پیش‌فرض کوچک‌تر؛ اکوسیستم بسیار بزرگ اندیکاتورها و اکسپرت‌های قدیمی.
- mt5: مجموعه‌ی پیش‌فرض بزرگ‌تر؛ تمرکز توسعه و امکانات جدید روی این نسخه.",,
99,موتور تفاوت متاتریدر ۴ و ۵,MT-CMP-0012,,وابسته به نسخه,مقایسه,تفاوت نمایش معاملات و سفارش‌ها در تب Trade,"در متاتریدر ۴ همه‌ی معاملات باز و سفارش‌های معلق در یک فهرست نمایش داده می‌شوند، اما متاتریدر ۵ ابتدا پوزیشن‌ها و سپس سفارش‌های معلق را در دو بخش جدا نشان می‌دهد.

مقایسه:
- mt4: یک فهرست واحد شامل معاملات باز و سفارش‌های معلق، هرکدام با شماره‌ی تیکت.
- mt5: دو بخش جدا: Positions و سپس Orders؛ سفارش معلق تا فعال نشدن پوزیشن محسوب نمی‌شود.",,
